1|8|4
1|3|5
1|5|2
2|5|5
2|9|4
2|7|4
3|1|5
3|7|2
3|8|3
3|4|3
3|5|3
4|6|3
4|2|4
4|8|2
4|3|4
4|4|5
5|2|2
5|3|2
5|6|5
5|4|2
6|4|2
6|1|3
6|6|4
7|2|4
7|5|3
7|4|5
7|9|3
8|2|5
8|3|5
8|7|5
8|1|2
9|3|3
9|8|1
9|7|5
9|6|1
9|4|4
10|7|1
10|8|5
10|6|2
11|2|3
11|3|3
11|5|5
11|8|4
11|9|3
12|1|3
12|9|4
12|4|5
12|8|2
13|3|4
13|1|3
14|4|1
14|1|2
14|7|3
14|3|3
15|6|2
15|4|2
15|7|3
16|9|4
16|2|4
17|4|5
17|8|5
17|6|2
17|2|4
18|9|4
18|4|4
18|6|4
18|5|2
18|2|3
19|1|1
20|7|3
20|5|5
20|9|1
21|4|1
21|5|1
21|8|4
21|2|2
21|9|3
22|4|5
22|1|4
22|2|4
22|5|4
22|3|3
23|7|1
23|5|2
23|6|1
24|7|2
24|1|3
24|8|2
25|4|1
25|5|3
25|9|5
26|3|3
26|5|2
26|8|2
26|4|4
27|7|2
27|6|1
27|8|4
27|2|4
28|4|5
28|6|4
29|7|3
29|5|2
29|3|2
29|8|4
30|1|1
30|7|5
30|4|3
30|2|2
31|1|5
31|7|2
32|2|1
32|7|5
32|3|3
32|8|4
33|3|5
33|5|4
33|1|3
34|9|5
34|1|4
34|6|2
34|2|4
34|4|5
35|4|1
35|6|4
36|2|4
36|9|3
36|1|5
36|3|2
37|3|5
37|5|5
37|8|3
37|7|5
38|2|3
38|5|1
38|8|1
39|4|1
39|8|3
39|2|5
39|9|4
39|3|3
40|5|3
40|3|5
41|5|3
41|2|2
42|9|3
42|3|2
42|2|2
42|7|2
42|4|1
43|5|3
43|6|2
43|9|3
43|1|4
44|1|4
44|8|1
44|5|3
44|4|5
45|5|2
45|6|2
45|2|4
45|7|1
46|1|2
46|7|1
46|4|2
46|5|4
46|8|5
46|3|3
47|3|4
47|1|2
47|6|1
48|2|4
48|7|2
48|5|2
48|3|3
49|1|5
49|6|1
50|5|3
50|8|1
50|3|5
51|1|5
51|8|2
52|9|5
52|7|2
52|3|4
52|5|4
53|9|3
53|8|2
53|6|1
54|7|2
54|1|2
54|8|4
55|3|5
55|9|2
56|5|3
56|7|3
56|8|5
57|4|5
57|9|4
57|7|2
58|1|1
59|2|3
59|6|1
59|4|2
60|7|5
60|6|4
61|2|4
61|5|4
61|3|4
61|1|2
62|5|1
62|1|5
62|2|4
62|9|3
62|4|2
63|7|1
63|8|2
63|6|4
63|9|5
64|8|1
64|2|2
64|1|1
64|3|5
64|4|4
65|3|1
65|5|2
65|7|1
65|6|4
66|2|4
66|7|4
66|8|4
67|6|4
67|1|2
67|7|1
68|9|3
68|3|5
68|7|3
68|5|4
69|2|4
69|4|2
69|5|3
70|2|2
70|7|5
70|9|5
70|5|3
71|3|1
71|7|2
71|9|2
71|6|5
71|1|4
71|4|3
72|2|1
72|8|4
72|6|1
72|9|5
73|4|3
73|2|3
73|8|3
73|6|2
74|9|2
74|6|3
74|5|3
74|2|5
75|6|5
75|9|2
75|8|1
75|1|2
76|2|2
76|1|1
76|6|1
77|1|4
77|9|5
77|7|1
77|2|1
78|7|2
78|2|2
78|1|3
79|9|2
79|7|2
79|4|3
80|6|2
80|3|1
80|1|5
81|1|4
81|6|1
81|2|4
82|7|5
82|9|2
82|5|2
82|2|1
82|8|1
82|1|2
83|3|5
83|4|3
83|8|4
84|5|4
84|9|3
84|3|4
85|4|4
85|1|1
85|3|4
85|8|5
85|5|1
85|2|3
86|1|4
86|5|1
86|8|3
86|9|1
87|1|2
87|9|5
87|8|2
88|4|3
88|3|5
89|1|3
89|4|3
89|9|2
89|2|5
89|6|1
90|2|5
90|9|4
90|5|1
90|4|4
91|9|5
91|5|4
91|1|2
92|3|2
92|5|5
92|4|3
93|2|2
93|5|1
93|3|1
93|6|2
94|6|3
94|9|4
94|2|4
95|3|5
95|6|1
95|8|4
96|9|4
96|4|3
96|8|3
96|2|2
96|7|1
97|8|1
97|7|3
97|4|4
97|9|4
97|2|1
98|3|1
98|7|2
99|5|5
100|6|3
100|4|4
100|5|2
100|2|4
101|3|5
101|8|2
101|1|2
101|9|2
101|2|3
102|3|2
102|9|3
102|4|4
102|6|2
103|3|4
103|4|5
103|8|5
104|5|2
104|9|1
104|2|1
104|1|3
104|8|5
105|2|1
105|9|5
106|4|5
106|9|1
107|8|3
107|1|5
107|4|1
107|3|3
107|5|3
107|6|2
108|3|3
108|2|1
108|1|1
108|5|4
108|7|3
109|9|2
109|8|5
109|6|2
109|2|5
110|2|3
110|5|1
110|8|1
110|3|1
111|1|4
112|7|5
112|4|4
112|1|3
113|1|5
113|7|5
113|2|5
114|1|4
114|7|1
114|9|5
114|6|4
115|7|3
116|2|1
116|9|2
116|8|1
117|2|5
117|6|4
117|4|1
117|5|3
117|7|4
118|8|1
118|5|1
118|7|4
118|2|5
118|3|5
118|1|2
119|5|1
119|4|5
120|3|5
120|9|4
120|1|2
120|4|4
121|5|3
121|9|3
121|7|1
121|6|4
122|9|3
122|4|2
122|7|4
122|8|1
122|3|4
123|9|4
123|8|3
124|3|5
124|7|3
124|8|5
124|6|2
125|7|5
125|1|5
126|5|3
126|8|2
127|4|4
127|2|2
127|7|5
127|1|3
128|9|3
128|8|4
128|6|5
128|1|3
128|4|3
129|4|4
129|9|5
130|8|3
130|1|1
130|3|3
131|6|4
131|5|2
131|3|5
132|5|4
132|2|2
132|3|5
133|4|3
133|3|5
133|9|4
134|6|1
134|5|1
134|4|5
134|1|3
135|1|4
135|4|4
135|5|5
135|7|1
135|8|4
136|3|5
136|8|5
136|6|4
137|7|1
137|1|3
137|8|3
137|5|4
138|1|3
138|2|2
138|4|4
139|4|1
139|9|2
139|7|5
140|1|5
140|6|5
140|3|5
141|3|2
141|4|3
141|1|2
141|7|2
141|9|1
142|6|5
142|3|2
142|1|1
142|7|5
143|9|5
143|2|5
143|1|3
143|6|4
144|1|5
144|6|4
144|2|1
144|8|4
144|5|1
145|6|5
145|9|2
145|1|3
145|4|2
145|2|1
146|6|5
146|5|4
147|1|2
147|2|4
147|9|1
147|8|4
147|7|2
148|4|2
148|6|2
148|3|3
148|9|4
149|9|4
149|6|5
149|3|4
149|1|5
150|7|1
150|1|4
150|5|3
150|6|1
151|3|1
151|7|2
151|4|5
151|9|5
152|3|1
152|4|4
152|6|1
152|8|4
153|7|2
154|1|2
154|2|4
154|5|2
154|9|2
154|7|4
155|5|4
155|4|4
155|2|5
155|1|2
156|7|5
156|4|5
156|9|5
157|6|4
157|4|5
157|5|3
157|1|5
158|7|3
158|5|4
159|9|5
159|6|3
160|6|1
160|5|3
160|7|2
161|3|2
161|2|2
161|6|5
161|5|4
161|9|5
162|8|1
162|6|3
162|1|3
163|7|2
163|4|3
163|9|2
164|8|5
164|6|4
164|4|5
164|5|3
165|9|4
165|3|4
165|2|3
165|6|2
165|5|5
166|6|2
167|6|2
167|9|5
167|8|1
168|4|2
168|7|4
168|1|4
168|5|4
169|9|1
169|6|2
169|2|2
170|6|5
170|8|1
170|7|2
170|1|3
171|1|2
171|8|4
171|2|1
171|7|2
172|3|5
172|7|3
172|5|4
173|7|1
173|9|3
173|1|5
174|1|5
174|8|2
174|4|3
174|6|1
174|2|3
175|4|2
175|7|4
175|9|2
175|1|5
176|1|2
176|8|5
176|2|3
177|4|2
177|2|1
177|7|4
177|5|1
178|9|4
178|3|5
178|4|1
178|8|1
179|2|1
179|8|1
