1|2|172|52.500
1|6|23|94.350
1|8|205|67.740
1|3|24|93.220
1|4|234|90.610
1|5|186|68.910
1|7|245|73.730
2|3|269|65.550
2|7|155|98.130
2|9|255|69.880
3|7|267|68.590
3|5|112|94.200
3|2|217|92.080
3|8|190|87.610
3|1|290|99.880
3|4|206|91.980
3|6|275|95.980
4|7|187|50.120
4|4|244|99.140
4|8|127|64.510
5|6|66|65.120
5|5|158|55.690
5|1|91|70.900
5|2|149|74.120
6|7|231|51.700
6|9|19|82.540
6|6|28|63.120
6|3|269|84.950
6|4|274|86.930
6|1|278|52.510
6|8|174|84.920
6|2|162|60.290
7|8|299|70.670
7|4|14|95.930
7|3|121|96.710
7|2|97|91.680
7|6|203|66.410
7|7|60|66.850
7|5|109|90.330
8|9|229|67.450
8|5|59|81.060
8|6|283|89.690
8|3|43|53.300
8|1|78|63.900
8|7|285|67.440
9|7|291|68.320
9|9|146|79.890
9|2|298|93.760
9|8|244|72.700
9|1|33|74.220
9|6|17|57.510
9|5|68|53.270
9|3|132|98.070
10|5|214|55.150
10|2|172|99.270
10|1|138|67.620
11|7|135|68.030
11|5|134|82.910
11|1|147|95.150
11|6|48|51.760
11|8|158|79.420
11|9|61|91.070
12|6|42|86.590
12|9|291|70.490
12|5|212|77.740
12|2|142|89.790
12|8|223|96.740
13|7|213|96.200
13|3|98|57.310
13|8|258|50.610
13|2|280|75.980
13|4|132|75.630
14|7|94|88.070
14|1|73|99.650
14|6|89|70.520
14|9|121|96.650
14|3|263|82.240
15|9|51|86.450
15|4|205|85.460
15|5|176|85.890
15|7|259|67.360
15|1|230|99.200
15|3|161|72.740
16|8|155|62.150
16|3|149|75.480
16|1|238|63.760
16|7|261|84.400
16|2|116|96.730
17|4|233|91.200
17|9|280|76.510
17|2|73|86.230
17|3|189|74.960
18|4|240|93.490
18|7|194|93.100
18|9|209|97.460
18|1|217|77.520
18|3|262|70.280
18|2|20|83.340
19|2|258|63.890
19|7|271|53.710
19|4|271|58.070
19|5|45|79.090
19|8|236|51.610
19|3|269|63.240
20|9|297|82.740
20|2|257|71.260
20|6|123|71.190
20|5|25|82.980
21|3|150|59.670
21|6|58|68.190
21|2|263|86.840
21|5|96|68.980
21|4|155|87.890
22|4|214|63.110
22|1|25|51.240
22|7|287|54.670
22|5|140|60.640
22|9|246|74.850
22|3|28|93.980
23|8|265|60.670
23|7|108|86.660
23|5|147|71.280
23|1|135|54.930
23|3|189|85.100
24|3|47|70.600
24|8|59|62.370
24|7|114|85.070
24|1|37|57.470
25|4|278|72.110
25|1|138|76.650
25|9|164|52.800
25|8|39|71.380
25|2|143|81.140
25|3|165|57.700
25|7|135|91.180
26|7|74|97.090
26|2|32|74.610
26|6|223|74.430
26|5|190|72.330
26|8|279|59.980
27|3|199|82.970
27|2|247|99.000
27|9|282|91.570
27|8|24|62.150
27|1|123|96.100
27|6|67|65.120
27|7|35|58.120
28|3|227|87.040
28|5|288|65.460
28|2|141|83.360
28|9|14|93.580
29|6|272|75.850
29|8|279|83.700
30|1|56|50.390
30|7|147|88.040
30|5|200|89.430
30|8|208|87.360
30|4|257|79.040
30|2|222|62.140
30|6|98|71.310
30|3|75|98.290
31|2|55|85.030
31|5|291|67.880
31|9|34|58.450
32|1|69|99.650
32|5|64|62.210
32|2|95|92.650
32|7|223|93.960
32|3|262|94.620
32|6|182|89.810
32|4|14|78.410
33|9|85|60.660
33|7|109|83.400
33|5|282|99.880
33|8|221|72.130
33|6|255|75.050
33|4|261|67.560
34|9|178|59.690
34|2|81|71.000
34|3|55|94.140
34|6|298|64.090
34|5|125|96.140
34|1|267|96.490
35|6|184|72.040
35|2|21|59.960
35|1|187|61.420
35|5|138|61.730
35|7|187|56.330
35|9|62|74.570
36|9|178|72.410
36|5|273|76.360
36|2|190|60.310
36|8|217|57.460
37|2|285|72.190
37|4|252|60.320
37|8|201|55.650
37|5|288|95.500
38|1|257|77.480
38|3|159|63.080
38|4|205|86.020
38|2|70|99.230
38|6|148|74.190
39|6|25|85.380
39|2|151|80.320
39|8|60|88.560
40|9|300|79.190
40|2|135|69.640
40|4|297|79.300
40|3|69|53.320
40|6|38|85.620
41|4|255|67.130
41|9|99|82.540
41|6|61|70.340
41|5|178|70.080
41|1|231|86.090
42|7|89|62.630
42|5|140|51.530
42|2|285|82.010
42|4|288|70.430
42|3|101|78.050
43|4|213|88.080
43|8|300|53.960
43|2|296|57.740
43|1|33|92.470
43|9|16|51.700
43|3|248|72.770
44|7|132|97.310
44|2|293|87.720
44|4|52|56.320
44|6|39|52.470
44|5|76|94.110
45|3|171|63.090
45|7|62|59.210
45|4|116|91.300
45|5|72|67.380
46|6|29|63.740
46|4|220|72.420
46|7|262|58.000
47|4|31|84.620
47|2|106|64.190
47|5|270|81.520
47|1|110|69.060
47|8|184|54.240
48|2|57|82.760
48|9|211|71.940
48|6|250|54.020
48|7|18|84.960
49|4|292|52.820
49|7|47|89.720
49|6|286|86.550
49|8|266|94.570
49|1|92|76.620
49|9|119|61.970
49|5|65|83.090
50|5|97|71.890
50|4|52|60.340
50|8|292|71.520
50|1|117|58.090
50|2|255|53.850
50|9|114|94.530
50|6|291|75.840
50|3|161|92.280
51|1|295|53.320
51|7|104|66.170
51|6|68|98.120
52|2|260|52.640
52|1|139|95.210
52|6|14|68.840
52|9|278|64.190
52|5|280|66.400
52|4|236|73.650
52|7|261|91.440
52|3|176|82.110
53|4|47|84.420
53|1|273|90.490
54|5|84|81.440
54|9|37|59.110
54|7|14|70.950
54|8|166|81.020
54|2|176|77.700
54|4|35|67.080
55|5|111|83.390
55|9|31|69.720
55|2|134|82.330
55|1|117|62.450
55|3|194|50.110
55|4|237|90.780
55|6|84|52.550
55|7|233|95.370
56|7|200|68.880
56|4|62|98.890
56|1|76|73.920
56|8|44|67.870
56|9|41|84.640
56|3|43|54.500
57|4|112|71.810
57|6|291|92.720
57|8|129|64.960
57|9|210|54.890
57|5|294|87.070
57|3|179|76.760
57|2|71|51.310
57|7|268|57.670
58|1|39|98.290
58|7|236|66.400
58|2|104|59.760
58|5|113|54.420
58|6|54|68.000
58|9|139|93.180
58|4|137|52.640
58|3|109|76.680
59|5|244|62.470
59|1|92|56.520
59|3|130|79.150
59|7|97|72.710
59|2|49|85.090
59|9|291|78.930
60|9|71|65.120
60|1|26|72.190
60|4|41|70.230
60|7|177|96.140
60|5|194|54.050
61|6|48|75.510
61|1|234|97.580
62|7|54|86.140
62|3|185|63.510
62|5|121|75.890
62|4|292|52.960
62|1|197|90.950
63|7|16|74.120
63|3|158|53.980
63|4|230|85.270
63|1|152|79.200
63|8|141|64.120
63|5|83|78.810
63|2|213|79.230
64|1|276|63.960
64|2|213|51.080
64|6|201|54.220
65|4|40|86.380
65|3|270|67.060
65|5|171|71.460
65|9|96|77.020
65|6|102|93.430
65|7|129|95.410
66|4|283|86.230
66|7|115|54.420
66|3|64|57.970
66|8|80|86.320
66|2|253|86.770
67|9|24|95.580
67|7|43|95.060
67|4|238|76.130
67|8|181|58.320
67|2|249|72.790
67|6|269|57.860
68|8|259|86.480
68|9|165|97.610
68|2|158|64.260
68|5|260|64.720
68|6|244|58.640
68|1|284|76.090
69|5|117|73.640
69|1|170|82.550
69|6|14|81.840
69|2|123|69.160
69|7|173|81.510
69|8|160|57.840
69|3|12|78.750
70|3|282|88.410
70|5|117|79.530
70|4|153|78.550
70|6|206|88.920
70|7|280|87.820
70|1|133|66.880
71|7|179|58.580
71|1|277|89.550
71|4|83|85.320
71|9|188|81.430
71|6|110|55.340
72|1|32|85.240
72|4|222|60.870
72|2|201|83.970
72|3|34|91.470
72|6|277|79.820
72|9|188|59.600
73|6|44|98.300
73|3|57|88.480
73|5|75|94.120
74|2|296|74.430
74|5|30|98.760
74|1|151|89.180
74|7|122|72.000
74|8|147|92.080
75|6|64|91.110
75|3|243|53.110
75|2|287|80.410
75|7|17|94.050
75|1|147|55.300
76|2|56|90.820
76|8|32|65.390
76|7|38|59.520
76|9|70|95.470
76|6|112|63.260
77|9|119|52.780
77|3|222|79.060
77|6|271|62.140
77|7|125|68.790
77|8|197|55.480
77|5|121|67.940
77|2|89|92.670
78|2|205|87.440
78|9|77|68.970
78|1|161|85.720
78|8|274|77.350
78|3|137|69.860
79|1|113|99.000
79|5|255|98.770
79|7|270|58.730
79|2|88|95.970
79|4|22|96.000
79|3|199|87.200
80|5|41|83.630
80|1|137|53.240
80|7|160|53.240
80|2|31|55.590
80|4|33|97.890
80|8|191|75.220
80|9|285|88.550
81|6|142|82.660
81|1|80|63.510
81|3|171|81.620
81|4|91|53.160
81|8|215|59.220
82|4|119|92.510
82|2|167|71.630
82|1|146|73.550
82|6|24|50.860
