1|1|1|2018-01-14
2|1|1|2018-01-15
3|1|1|2018-02-03
4|1|1|2018-02-06
5|1|1|2018-02-11
6|1|1|2018-02-13
7|1|1|2018-02-15
8|1|1|2018-02-22
9|1|1|2018-03-13
10|1|1|2018-04-04
11|1|1|2018-04-28
12|1|1|2018-05-17
13|1|1|2018-05-18
14|1|1|2018-05-29
15|1|1|2018-06-05
16|1|1|2018-06-09
17|1|1|2018-06-13
18|1|1|2018-06-23
19|1|1|2018-07-02
20|1|1|2018-07-23
21|1|1|2018-08-27
22|1|2|2018-01-08
23|1|2|2018-01-09
24|1|2|2018-01-14
25|1|2|2018-01-17
26|1|2|2018-02-04
27|1|2|2018-02-19
28|1|2|2018-03-09
29|1|2|2018-03-17
30|1|2|2018-04-02
31|1|2|2018-04-23
32|1|2|2018-05-02
33|1|2|2018-05-04
34|1|2|2018-05-18
35|1|2|2018-05-22
36|1|2|2018-05-27
37|1|2|2018-06-05
38|1|2|2018-06-08
39|1|2|2018-06-09
40|1|2|2018-06-10
41|1|2|2018-06-22
42|1|2|2018-07-01
43|1|2|2018-07-11
44|1|2|2018-08-18
45|1|3|2018-01-11
46|1|3|2018-01-15
47|1|3|2018-01-20
48|1|3|2018-01-22
49|1|3|2018-02-06
50|1|3|2018-02-15
51|1|3|2018-02-17
52|1|3|2018-02-25
53|1|3|2018-03-12
54|1|3|2018-03-28
55|1|3|2018-04-10
56|1|3|2018-04-24
57|1|3|2018-04-25
58|1|3|2018-05-02
59|1|3|2018-06-05
60|1|3|2018-06-16
61|1|3|2018-06-20
62|1|3|2018-07-04
63|1|3|2018-07-28
64|1|3|2018-08-06
65|1|3|2018-08-22
66|2|1|2018-01-09
67|2|1|2018-01-10
68|2|1|2018-02-02
69|2|1|2018-02-25
70|2|1|2018-04-02
71|2|1|2018-04-03
72|2|1|2018-04-07
73|2|1|2018-04-14
74|2|1|2018-05-11
75|2|1|2018-06-02
76|2|1|2018-06-04
77|2|1|2018-06-22
78|2|1|2018-06-28
79|2|1|2018-07-11
80|2|1|2018-07-19
81|2|1|2018-08-09
82|2|1|2018-08-27
83|2|1|2018-08-29
84|2|2|2018-01-15
85|2|2|2018-01-28
86|2|2|2018-02-16
87|2|2|2018-02-17
88|2|2|2018-02-21
89|2|2|2018-02-23
90|2|2|2018-03-15
91|2|2|2018-04-09
92|2|2|2018-04-26
93|2|2|2018-04-28
94|2|2|2018-05-10
95|2|2|2018-05-15
96|2|2|2018-05-18
97|2|2|2018-05-19
98|2|2|2018-05-22
99|2|2|2018-06-04
100|2|2|2018-06-19
101|2|2|2018-06-28
102|2|2|2018-07-01
103|2|2|2018-07-08
104|2|2|2018-07-14
105|2|2|2018-07-16
106|2|2|2018-07-28
107|2|2|2018-08-10
108|2|2|2018-08-21
109|2|3|2018-02-28
